Sune, S, Swimming Left
OLL 	(y2) F U R U' R' F' 	
OLL 	(y) R U y' L U' L' B' 	
OLL 	(y) F U R' F R F' U' F' 	

Anti-Moustache, Sea-Mew, Wario
OLL 	R' U' R U' R' U R U R y R' F' R 	
OLL 	R' U' R U' R' U R U R B' R' B 	
OLL 	(y2) (L' U' L U') (L' U L U) (L F' L' F) 	
OLL 	(R U R' U') y (L' U2' L U) y' (R U R') 	
OLL 	(R U R' U' F') (U2' F U) (R U R')

Moustache, Mario
OLL 	(y2) (R U R' U) (R U' R' U') (R' F R F') 	
OLL 	L U L' U L U' L' U' L' B L B' 	
OLL 	(L' U' L U) y' (R U2 R' U') y (L' U' L)

Breakneck
OLL 	F (R U R' U') (R U R' U') F' 	
OLL 	(y2) f U R U' R' U R U' R' f' 	
OLL 	(y) r U2 R' U' R U' r' R' U' R U' R' U2 R 	
OLL 	(y') r' U' R U' R' U2 r R U2 R' U' R U' R'

Anti-Breakneck
OLL 	F' (L' U' L U) (L' U' L U) F 	
OLL 	(y') r U R' U R U2 r' R' U2 R U R' U R 	
OLL 	R' U' x (R' U R U')2 x' U R

Frying Pan
OLL 	l' U' L U' L' U L U' L' U2 l 	
# OLL 	(y') l U2 L U L' U' L U L' U' l' 	
OLL 	(y2) r' U' R U' R' U R U' R' U2 r 	
OLL 	(y') r' U2 R U R' U' R U R' U r 	
OLL 	(y') r U2 R' U' R U' r' R U2 R' U' R U' R' 	
OLL 	r U R' U R U2 r' R U R' U R U2 R' 	
OLL 	F R U R' U' F' R U R' U' R' F R F'

Anti-Frying Pan
OLL 	r U R' U R U' R' U R U2 r' 	
OLL 	(y') r U2 R' U' R U R' U' R U' r' 	
OLL 	(y2) l U L' U L U' L' U L U2 l' 	
# OLL 	(y) l' U2 L U L' U' L U L' U' l 	
OLL 	(y2) r' U' R U' R' U2 r R' U' R U' R' U2 R 	
OLL 	(y) r' U2 R U R' U r R' U2 R U R' U R 	
OLL 	(y) f (R U R' U') (R U R' U') f' F (R U R' U') F' 	
OLL 	(y') r U2 R' U' R U R' U' R U' r'

Right back squeezy
OLL 	R B' R2 F R2 B R2 F' R 	
OLL 	l U' l2' U l2 U l2' U' l 	
OLL 	(y2) r U' r2 U r2 U r2 U' r 	
OLL 	(y2) R' F R' F' R2 d2 y' R' F R F' 	
OLL 	(y2) r U2 R2' U' R2 U' r'R' U2 R 	
OLL 	(y') x' U l' U2 R U2 l U2 R' U x 	
OLL 	(y') R' U2 R U R' U R F R U R' U' F'

Right front squeezy
OLL 	(y2) R' F R2 B' R2 F' R2 B R' 	
OLL 	(y2) (r U R U' r') (F R' U R U' R' F') 	
OLL 	(y2) x' R' D R2 U' R2 D' R2 U R' x 	
